FILE,KEY,OFFSET,TRAP,DETAIL,MF-BEHAVIOR
JYUMAST,1000000577,130,A-01,電話番号に全角数字,表示のみ・演算対象外
JYUMAST,1000000792,10,A-03,外字コード(0x69xx),外字プリンタで正常印字
JYUMAST,1000001004,10,A-03,外字コード(0x69xx),外字プリンタで正常印字
JYUMAST,1000001016,10,A-03,外字コード(0x69xx),外字プリンタで正常印字
JYUMAST,1000001030,10,A-03,外字コード(0x69xx),外字プリンタで正常印字
JYUMAST,1000001384,10,A-02,SI欠落(不整合DBCS),印字化けのみで続行
JYUMAST,1000001464,10,A-03,外字コード(0x69xx),外字プリンタで正常印字
JYUMAST,1000001547,10,A-03,外字コード(0x69xx),外字プリンタで正常印字
JYUMAST,1000001695,10,A-03,外字コード(0x69xx),外字プリンタで正常印字
JYUMAST,1000001799,130,A-01,電話番号に全角数字,表示のみ・演算対象外
JYUMAST,1000002378,10,A-03,外字コード(0x69xx),外字プリンタで正常印字
JYUMAST,1000002486,10,A-03,外字コード(0x69xx),外字プリンタで正常印字
JYUMAST,1000002503,10,A-03,外字コード(0x69xx),外字プリンタで正常印字
JYUMAST,1000002623,10,A-03,外字コード(0x69xx),外字プリンタで正常印字
JYUMAST,1000004129,130,A-01,電話番号に全角数字,表示のみ・演算対象外
JYUMAST,1000004550,10,A-03,外字コード(0x69xx),外字プリンタで正常印字
JYUMAST,1000004613,10,A-02,SI欠落(不整合DBCS),印字化けのみで続行
KYKMAST,0301000000000000000004,32,F-05,テスト契約種別99,11箇所の比較で集計除外
KYKMAST,0301000000000000000004,59,B-12,型圧縮前の旧レイアウト(暗黙判別=適用開始<1993),判別ロジックで正しく読み分け
KYKMAST,0302000000000000000106,59,B-12,型圧縮前の旧レイアウト(暗黙判別=適用開始<1993),判別ロジックで正しく読み分け
KYKMAST,0303000000000000000208,59,B-12,型圧縮前の旧レイアウト(暗黙判別=適用開始<1993),判別ロジックで正しく読み分け
KYKMAST,0304000000000000000310,59,B-12,型圧縮前の旧レイアウト(暗黙判別=適用開始<1993),判別ロジックで正しく読み分け
KYKMAST,0305000000000000000412,59,B-12,型圧縮前の旧レイアウト(暗黙判別=適用開始<1993),判別ロジックで正しく読み分け
KYKMAST,0306000000000000000514,59,B-12,型圧縮前の旧レイアウト(暗黙判別=適用開始<1993),判別ロジックで正しく読み分け
KYKMAST,0307000000000000000616,59,B-12,型圧縮前の旧レイアウト(暗黙判別=適用開始<1993),判別ロジックで正しく読み分け
KYKMAST,0308000000000000000718,59,B-12,型圧縮前の旧レイアウト(暗黙判別=適用開始<1993),判別ロジックで正しく読み分け
KYKMAST,0309000000000000000820,59,B-12,型圧縮前の旧レイアウト(暗黙判別=適用開始<1993),判別ロジックで正しく読み分け
KYKMAST,0310000000000000000913,59,B-12,型圧縮前の旧レイアウト(暗黙判別=適用開始<1993),判別ロジックで正しく読み分け
